,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,is_for_sale,Estado
0,180,SI-180,https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building_thumbnail.jpg,Araico Realty Group,2685,Scripto TOKAI JMP,/nave-en-venta/scripto-tokai-jmp-tijuana-tij/180/,"Tijuana, Baja California",,20438.6695912545,6.0277896,USD,38.63,USD,El Rubí,Tijuana,True,False,0,True,True,Baja California
1,3042,SI-3042,https://solili.s3.amazonaws.com/media/PI-1076_thumbnail_1587765949.jpg,NAI Mexico,1076,UGCOM Facility,/nave-en-venta/ugcom-facility-tijuana-tij/3042/,"Tijuana, Baja California",,3495.84862749689,,,,,Parque Industrial Presidentes,Tijuana,True,False,0,False,True,Baja California
2,999,SI-999,https://solili.s3.amazonaws.com/media/PI-17497_thumbnail_1541054924.jpg,RE/MAX,17497,Granero de Mexicali,/nave-en-venta/granero-de-mexicali-ensenada-ens/999/,"Ensenada, Baja California",,750.006270955443,,USD,53.14,USD,Fuera de parque,Ensenada,False,False,1,False,True,Baja California
3,944,SI-944,https://solili.s3.amazonaws.com/media/PI-16726_thumbnail_1537985145.jpg,,16726,Nave Saturno,/nave-en-venta/nave-saturno-mexicali-mexi/944/,"Mexicali, Baja California",,499.911277593365,3.0138948,USD,,,PIMSA,Mexicali,True,False,5,True,True,Baja California
4,1000,SI-1000,https://solili.s3.amazonaws.com/media/PI-17498_thumbnail_1541055830.jpg,,17498,Bodega Comercial,/nave-en-venta/bodega-comercial-ensenada-ens/1000/,"Ensenada, Baja California",,313.08325692058,6.9965415,USD,1955.34,MXN,Fuera de parque,Ensenada,False,False,5,True,True,Baja California
5,1002,SI-1002,https://solili.s3.amazonaws.com/media/PI-17500_thumbnail_1541057223.jpg,,17500,Nave Valle Dorado,/nave-en-venta/nave-valle-dorado-ensenada-ens/1002/,"Ensenada, Baja California",,250.002090318481,,USD,921.59,USD,Fuera de parque,Ensenada,False,False,5,False,True,Baja California
6,2174,SI-2174,https://solili.s3.amazonaws.com/media/PI-21709_thumbnail_1597092798.jpg,,21709,Juan Pablo II,/nave-en-venta/juan-pablo-ii-chihuahua-chi/2174/,"Chihuahua, Chihuahua",492.0,2733.0,127.52,MXN,59712000.0,MXN,Fuera de Parque,Chihuahua,True,False,5,True,True,Chiuahua
7,2177,SI-2177,https://solili.s3.amazonaws.com/media/PI-21300_thumbnail_1597158921.jpg,,21300,Oxxo Cedis,/nave-en-venta/oxxo-cedis-chihuahua-chi/2177/,"Chihuahua, Chihuahua",,20264.0,95.24,MXN,250000000.0,MXN,Chihuahua Industrial Complex,Chihuahua,True,False,5,True,True,Chiuahua
8,2197,SI-2197,https://solili.s3.amazonaws.com/media/PI-21714_thumbnail_1597332947.jpg,,21714,Nave Industrial 10,/nave-en-venta/nave-industrial-10-chihuahua-chi/2197/,"Chihuahua, Chihuahua",,2270.0,,,13567089.0,MXN,Fuera de Parque,Chihuahua,True,False,5,False,True,Chiuahua
9,2198,SI-2198,https://solili.s3.amazonaws.com/media/PI-28252_thumbnail_1597336313.jpg,,28252,Bodega 17a,/nave-en-venta/bodega-17a-chihuahua-chi/2198/,"Chihuahua, Chihuahua",,2282.0,51.71,MXN,13000000.0,MXN,Fuera de Parque,Chihuahua,True,False,5,True,True,Chiuahua
10,3201,SI-3201,https://solili.s3.amazonaws.com/media/PI-20637_thumbnail_1648835340.jpg,,20637,Osrman III,/nave-en-venta/osrman-iii-ciudad-juarez-cj/3201/,"Municipio de Juárez, Chihuahua",,5496.8872835243,,,853.48,,Antonio J. Bermudez,Ciudad Juarez,True,False,5,False,True,Chiuahua
11,3202,SI-3202,https://solili.s3.amazonaws.com/media/PI-20636_thumbnail_1632276928.jpg,,20636,Osrman II,/nave-en-venta/osrman-ii-ciudad-juarez-cj/3202/,"Municipio de Juárez, Chihuahua",,5496.98018656789,,,853.48,,Antonio J. Bermudez,Ciudad Juarez,True,False,5,False,True,Chiuahua
12,1328,SI-1328,https://solili.s3.amazonaws.com/media/PI-18623_thumbnail_1562274417.jpg,Colliers,18623,Teva Building,/nave-en-venta/teva-building-saltillo-sal/1328/,"Ramos Arizpe, Coahuila de Zaragoza",,9963.01529834419,,USD,475.21,MXN,Fuera de parque,Saltillo,True,False,-1,True,True,Cohauila
13,2961,SI-2961,https://solili.s3.amazonaws.com/media/SI-2961_thumbnail_1635185958.jpg,,18638,Nave II Amistad Ramos Arizpe,/nave-en-venta/nave-ii-amistad-ramos-arizpe-saltillo-sal/2961/,"Ramos Arizpe, Coahuila de Zaragoza",,8749.99976774239,3.5520903,USD,411.42,USD,Amistad Ramos Arizpe Industrial Park,Saltillo,False,False,5,True,True,Cohauila
14,1833,SI-1833,https://solili.s3.amazonaws.com/media/PI-26669_thumbnail_1583524270.jpg,Colliers,26669,Poniente 44,/nave-en-venta/poniente-44-ciudad-de-mexico-cdmx/1833/,"Azcapotzalco, Ciudad de México",,1400.0,,,14286.0,MXN,Fuera de Parque,Ciudad de México,True,False,-1,False,True,Ciudad de mexico
15,3159,SI-3159,https://solili.s3.amazonaws.com/media/PI-30230_thumbnail_1646953677.jpg,,30230,Bodega Cuitláhuac Park,/nave-en-venta/bodega-cuitlahuac-park-ciudad-de-mexico-cdmx/3159/,"Azcapotzalco, Ciudad de México",5500.0,13666.34,200.0,MXN,1500.0,USD,Zona Industrial Atlampa-Santa María,Ciudad de México,True,False,5,True,True,Ciudad de mexico
16,1891,SI-1891,https://solili.s3.amazonaws.com/media/PI-26703_thumbnail_1588172879.jpg,,26703,Nave A,/nave-en-venta/nave-a-guanajuato-gto/1891/,"Salamanca, Guanajuato",210.0,3360.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
17,1892,SI-1892,https://solili.s3.amazonaws.com/media/PI-26704_thumbnail_1588174095.jpg,,26704,Nave B,/nave-en-venta/nave-b-guanajuato-gto/1892/,"Salamanca, Guanajuato",250.0,1250.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
18,1893,SI-1893,https://solili.s3.amazonaws.com/media/PI-26705_thumbnail_1588176061.jpg,,26705,Nave C,/nave-en-venta/nave-c-guanajuato-gto/1893/,"Salamanca, Guanajuato",250.0,3000.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
19,1894,SI-1894,https://solili.s3.amazonaws.com/media/PI-26706_thumbnail_1588176549.jpg,,26706,Nave D,/nave-en-venta/nave-d-guanajuato-gto/1894/,"Salamanca, Guanajuato",250.0,8500.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
20,1895,SI-1895,https://solili.s3.amazonaws.com/media/PI-26707_thumbnail_1588178221.jpg,,26707,Nave E,/nave-en-venta/nave-e-guanajuato-gto/1895/,"Salamanca, Guanajuato",210.0,3360.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
21,1896,SI-1896,https://solili.s3.amazonaws.com/media/PI-26708_thumbnail_1588180040.jpg,,26708,Nave F,/nave-en-venta/nave-f-guanajuato-gto/1896/,"Salamanca, Guanajuato",150.0,2400.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
22,1897,SI-1897,https://solili.s3.amazonaws.com/media/PI-26709_thumbnail_1588182548.jpg,,26709,Nave G,/nave-en-venta/nave-g-guanajuato-gto/1897/,"Salamanca, Guanajuato",210.0,840.0,,,12500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
23,1898,SI-1898,https://solili.s3.amazonaws.com/media/PI-26710_thumbnail_1588183598.jpg,,26710,Nave 5,/nave-en-venta/nave-5-guanajuato-gto/1898/,"Salamanca, Guanajuato",1000.0,8000.0,,,9500.0,MXN,Sakura Park,Guanajuato,True,False,5,False,True,Guanajuato
24,1958,SI-1958,https://solili.s3.amazonaws.com/media/PI-26740_thumbnail_1591729654.jpg,,26740,Módulo H,/nave-en-venta/modulo-h-guanajuato-gto/1958/,"Apaseo el Grande, Guanajuato",274.03,1370.15,,,9600.65,MXN,Orient Business Park,Guanajuato,True,False,5,False,True,Guanajuato
25,1959,SI-1959,https://solili.s3.amazonaws.com/media/PI-26741_thumbnail_1591731616.jpg,,26741,Módulo G,/nave-en-venta/modulo-g-guanajuato-gto/1959/,"Apaseo el Grande, Guanajuato",274.03,1644.18,,,9600.65,MXN,Orient Business Park,Guanajuato,True,False,5,False,True,Guanajuato
26,1960,SI-1960,https://solili.s3.amazonaws.com/media/PI-26742_thumbnail_1591742712.jpg,,26742,Módulo B,/nave-en-venta/modulo-b-guanajuato-gto/1960/,"Apaseo el Grande, Guanajuato",500.5,9092.55,,,9700.0,MXN,Orient Business Park,Guanajuato,True,False,5,False,True,Guanajuato
27,1961,SI-1961,https://solili.s3.amazonaws.com/media/PI-26744_thumbnail_1591804378.jpg,,26744,Módulo I,/nave-en-venta/modulo-i-guanajuato-gto/1961/,"Apaseo el Grande, Guanajuato",345.85,691.7,,,9700.0,MXN,Orient Business Park,Guanajuato,True,False,5,False,True,Guanajuato
28,3227,SI-3227,https://solili.s3.amazonaws.com/media/PI-24309_thumbnail_1650490198.jpg,,24309,Ethos,/nave-en-venta/ethos-guanajuato-gto/3227/,"Silao de la Victoria, Guanajuato",,6270.95544277126,,,,,Santa Fe Puerto Interior,Guanajuato,False,False,5,True,True,Guanajuato
29,2950,SI-2950,https://solili.s3.amazonaws.com/media/PI-29164_thumbnail_1634065912.jpg,Colliers,29164,Bodega los Remedios,/nave-en-venta/los-remedios-37-ciudad-de-mexico-cdmx/2950/,"Naucalpan, Estado de México",2009.09,4383.0,110.0,MXN,15970.8,MXN,Fuera de Parque,Ciudad de México,True,False,-1,True,True,México
30,1972,SI-1972,https://solili.s3.amazonaws.com/media/PI-26750_thumbnail_1592317880.jpg,NAI,26750,Bodega Luis Pastuer,/nave-en-venta/bodega-luis-pastuer-ciudad-de-mexico-cdmx/1972/,"Cuautitlán Izcalli, Estado de México",,1498.0,,,1001.34,USD,Industrial Cuamatla,Ciudad de México,True,False,0,False,True,México
31,2030,SI-2030,https://solili.s3.amazonaws.com/media/PI-27718_thumbnail_1610398074.jpg,Parks,27718,Terreno I,/nave-en-venta/ixhuatepec-terreno-ciudad-de-mexico-cdmx/2030/,"Tlalnepantla de Baz, Estado de México",,10212.6,2.7,USD,150.0,USD,Ixhuatepecpark,Ciudad de México,True,False,0,True,True,México
32,3154,SI-3154,https://solili.s3.amazonaws.com/media/PI-30222_thumbnail_1646416198.jpg,RE/MAX Premium,30222,Bodega Lago Texcoco,/nave-en-venta/bodega-lago-texcoco-ciudad-de-mexico-cdmx/3154/,"Gustavo A. Madero, Ciudad de México",,2413.0,,,6500.21,MXN,Fuera de Parque,Ciudad de México,True,False,1,False,True,México
33,2226,SI-2226,https://solili.s3.amazonaws.com/media/PI-28659_thumbnail_1616431908.jpg,Defiar Apoyo Inmobiliario,28659,Building 1,/nave-en-venta/building-1-monterrey-mty/2226/,"Santa Catarina, Nuevo León",,3999.9405420521,,,1116.16,,Martel II,Monterrey,True,False,0,False,True,Nuevo León
34,1815,SI-1815,https://solili.s3.amazonaws.com/media/PI-16707_thumbnail_1565112519.jpg,,16707,Nave 1,/nave-en-venta/nave-1-monterrey-mty/1815/,"Santa Catarina, Nuevo León",,3359.00244427908,,,911.88,MXN,Parque Milimex Santa Catarina,Monterrey,True,False,5,False,True,Nuevo León
35,2471,SI-2471,https://solili.s3.amazonaws.com/media/PI-5894_thumbnail_1623996811.jpg,,5894,Nave B,/nave-en-venta/nave-b-monterrey-mty/2471/,"Ciénega de Flores, Nuevo León",,4999.94890332602,79.9758513,MXN,1021.94,MXN,HASAC,Monterrey,False,False,5,True,True,Nuevo León
36,1808,SI-1808,https://solili.s3.amazonaws.com/media/PI-26656_thumbnail_1591901665.jpg,NAI,26656,San Francisco Ocotlán,/nave-en-venta/san-francisco-ocotlan-puebla-pue/1808/,"Cuautlancingo, Puebla",,10825.5,,USD,,,Sanctorum,Puebla,True,False,-1,False,True,Puebla
37,672,SI-672,https://solili.s3.amazonaws.com/media/SI-672_thumbnail_1631202374.jpg,Parks,9927,Terrenos Querétaro Park VI El Marqués,/nave-en-venta/terrenos-queretaro-park-vi-el-marques-queretaro-que/672/,"El Marqués, Querétaro",8474.91,667454.68,,USD,100.0,USD,Querétaro Park VI El Marqués,Queretaro,True,False,-1,False,True,Querétaro
38,3219,SI-3219,https://solili.s3.amazonaws.com/media/PI-31445_thumbnail_1649890903.jpg,Colliers,31445,Nave La Noria,/nave-en-venta/cerrada-la-noria-queretaro-que/3219/,"Santiago de Querétaro, Querétaro",,4039.98,,,740.1,USD,Parque Industrial Querétaro,Queretaro,True,False,0,False,True,Querétaro
39,3076,SI-3076,https://solili.s3.amazonaws.com/media/PI-29314_thumbnail_1654713275.jpg,,29314,Inventario 5000-22,/nave-en-venta/inventario-5000-22-san-luis-potosi-slp/3076/,"San Luis Potosí, San Luis Potosí",,5016.0,4.8,USD,468.0,USD,Millenium,San Luis Potosi,True,False,5,True,True,San Luis Potosí
40,2351,SI-2351,https://solili.s3.amazonaws.com/media/PI-23150_thumbnail_1602625552.jpg,Colliers,23150,Bodega Planta 4,/nave-en-venta/bodega-planta-4-matamoros-mat/2351/,"Matamoros, Tamaulipas",,9487.90913339112,,,30.74,USD,Ciudad Industrial,Matamoros,False,False,0,False,True,Tamaulipas
41,2353,SI-2353,https://solili.s3.amazonaws.com/media/PI-23148_thumbnail_1602626442.jpg,Colliers,23148,Bodega Planta 1,/nave-en-venta/bodega-planta-1-matamoros-mat/2353/,"Matamoros, Tamaulipas",,6414.95516034601,,,32.58,USD,Ciudad Industrial,Matamoros,False,False,0,False,True,Tamaulipas
42,1563,SI-1563,https://solili.s3.amazonaws.com/media/PI-25636_thumbnail_1573831468.jpg,,25636,Mervis Industries de México,/nave-en-venta/mervis-industries-de-mexico/1563/,"Matamoros, Tamaulipas",,5000.0,,,,,Fuera de Parque,,False,False,5,False,True,Tamaulipas
43,2388,SI-2388,https://solili.s3.amazonaws.com/media/PI-23897_thumbnail_1605722255.jpg,,23897,Bodega II,/nave-en-venta/bodega-ii-reynosa-rey/2388/,"Reynosa, Tamaulipas",,5000.04180636962,,,501.67,MXN,Zona Industrial Moll,Reynosa,True,False,5,False,True,Tamaulipas
44,2597,SI-2597,https://solili.s3.amazonaws.com/media/SR-2597_thumbnail_1612498629.jpg,,28893,Planta Texmelucan,/nave-en-venta/-puebla-pue/2597/,"Ixtacuixtla de Mariano Matamoros, Tlaxcala",,164950.58,,,1030.61171412674,MXN,Complejo Industrial Petroquimico,Puebla,False,False,5,False,True,Tlaxcala
